img_num,number_of_houses
000000001801.jpg,1
000000001190.jpg,1
000000001817.jpg,1
000000000251.jpg,1
000000002505.jpg,1
000000001117.jpg,1
000000001411.jpg,1
000000002113.jpg,1
000000000408.jpg,1
000000002579.jpg,1
000000002254.jpg,1
000000000052.jpg,1
000000000644.jpg,1
000000001763.jpg,1
000000002776.jpg,1
000000000900.jpg,1
000000001073.jpg,1
000000000472.jpg,1
000000002738.jpg,1
000000002546.jpg,1
000000000044.jpg,1
000000000289.jpg,1
000000000912.jpg,1
000000002083.jpg,1
000000001360.jpg,1
000000002895.jpg,1
000000002603.jpg,1
000000001226.jpg,1
000000000296.jpg,1
000000001241.jpg,1
000000001005.jpg,1
000000001665.jpg,1
000000000746.jpg,1
000000002851.jpg,1
000000000291.jpg,1
000000000781.jpg,1
000000002144.jpg,1
000000000322.jpg,1
000000000298.jpg,1
000000001298.jpg,1
000000000194.jpg,1
000000000063.jpg,1
000000000393.jpg,1
000000000727.jpg,1
000000001583.jpg,1
000000001547.jpg,1
000000002425.jpg,1
000000000014.jpg,1
000000002567.jpg,1
000000001600.jpg,1
000000001090.jpg,1
000000002111.jpg,1
000000000203.jpg,1
000000002418.jpg,1
000000000152.jpg,1
000000002901.jpg,1
000000001359.jpg,1
000000000772.jpg,1
000000002678.jpg,1
000000001001.jpg,1
000000000718.jpg,1
000000000612.jpg,1
000000000842.jpg,1
000000000266.jpg,1
000000000051.jpg,1
000000001195.jpg,1
000000001270.jpg,1
000000001491.jpg,1
000000001582.jpg,1
000000000521.jpg,1
000000001694.jpg,1
000000002663.jpg,1
000000002748.jpg,1
000000001921.jpg,1
000000000102.jpg,1
000000000695.jpg,1
000000002332.jpg,1
000000002724.jpg,1
000000002272.jpg,1
000000002482.jpg,1
000000001842.jpg,1
000000001830.jpg,1
000000000794.jpg,1
000000001820.jpg,1
000000002001.jpg,1
000000000144.jpg,1
000000002525.jpg,1
000000001330.jpg,1
000000002477.jpg,1
000000002881.jpg,1
000000000321.jpg,1
000000001261.jpg,1
000000002414.jpg,1
000000001269.jpg,1
000000001760.jpg,1
000000000416.jpg,1
000000002631.jpg,1
000000002291.jpg,1
000000000174.jpg,1
000000001725.jpg,1
000000002175.jpg,1
000000000045.jpg,1
000000000685.jpg,1
000000001607.jpg,1
000000001231.jpg,1
000000000862.jpg,1
000000001965.jpg,1
000000000331.jpg,1
000000000093.jpg,1
000000001641.jpg,1
000000002986.jpg,1
000000000506.jpg,1
000000002909.jpg,1
000000002045.jpg,1
000000000495.jpg,1
000000002132.jpg,1
000000000000.jpg,1
000000000314.jpg,1
000000001272.jpg,1
000000001941.jpg,1
000000002967.jpg,1
000000001316.jpg,1
000000000755.jpg,1
000000001770.jpg,1
000000001200.jpg,1
000000002174.jpg,1
000000001991.jpg,1
000000000879.jpg,1
000000000765.jpg,1
000000000927.jpg,1
000000002377.jpg,1
000000001374.jpg,1
000000001814.jpg,1
000000001798.jpg,1
000000000929.jpg,1
000000000436.jpg,1
000000000196.jpg,1
000000001762.jpg,1
000000001064.jpg,1
000000002342.jpg,1
000000002528.jpg,1
000000001268.jpg,1
000000002323.jpg,1
000000002779.jpg,1
000000002225.jpg,1
000000000450.jpg,1
000000002164.jpg,1
000000002372.jpg,1
000000002012.jpg,1
000000000270.jpg,1
000000001840.jpg,1
000000002934.jpg,1
000000000978.jpg,1
000000002166.jpg,1
000000000354.jpg,1
000000001876.jpg,1
000000000184.jpg,1
000000002744.jpg,1
000000001614.jpg,1
000000002759.jpg,1
000000001706.jpg,1
000000001861.jpg,1
000000000246.jpg,1
000000000555.jpg,1
000000001752.jpg,1
000000001364.jpg,1
000000000067.jpg,1
000000002618.jpg,1
000000002284.jpg,1
000000000532.jpg,1
